row,case_id,api,dashboard_status,acceptance_status,evidence_grade,stage,manual_code_category,manual_operator,manual_line,manual_match_method,code_match,code_paths,reason,next
25,OP-SINKHORN-001,torch.ops.custom.npu_sinkhorn,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_sinkhorn,152,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_sinkhorn_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_sinkhorn_op.h;../ms_ops/docs/operators/npu_sinkhorn.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_sinkhorn_op.py,"After latest ms_ops git pull, tests/operators/aclnn/test_npu_mhc_sinkhorn_op.py completed successfully in the remaining infra batch; aggregate batch result was 5 passed and 4 skipped.",Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared for this operator.
26,OP-SPARSE-FLASH-ATTENTION-ENHANCE-001,torch.ops.custom.npu_sparse_flash_attention_enhance,blocked,blocked,tool_contract_only,remote_ms_ops_pytest,matched_manual_and_code,npu_sparse_flash_attention_enhance,120,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_sparse_flash_attention_enhance_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_sparse_flash_attention_enhance_op.h;../ms_ops/docs/operators/npu_sparse_flash_attention_enhance.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/__pycache__/test_npu_sparse_flash_attention_enhance_op.cpython-313-pytest-9.0.2.pyc;../ms_ops/tests/operators/aclnn/test_npu_sparse_flash_attention_enhance_op.py,Remote Ascend ms_ops pytest failed: torch.ops.custom lacks npu_sparse_flash_attention_enhance and aclnnSparseFlashAttentionEnhanceGetWorkspaceSize is not in /lib64/libopapi.so.,"Fix the remote ms_ops/Ascend dependency issue, then rerun tests/operators/aclnn/test_npu_sparse_flash_attention_enhance_op.py on xinwen@8.92.7.129 with custom_ops import enabled."
38,OP-ATTENTION-PIONEER-001,torch_npu._npu_attention_pioneer,blocked,blocked,tool_contract_only,ms_ops_pytest_rerun,matched_manual_and_code,_npu_attention_pioneer_op,116,exact,yes,../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_attention_pioneer_get_max_workspace_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_attention_pioneer_get_max_workspace_op.h;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_attention_pioneer_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_attention_pioneer_op.h;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/attention_pioneer_common.h;../ms_ops/docs/operators/_npu_attention_pioneer.md;../ms_ops/docs/operators/_npu_attention_pioneer_get_max_workspace.md;../ms_ops/docs/operators/supported_operators.md,"After refreshing ms_ops, rerunning tests/operators/aclnn/test_npu_attention_pioneer_op.py still fails during collection/build. _npu_attention_pioneer_op.cpp:64/72 passes std::pair<std::optional<std::vector<int64_t>>, bool> into MindSpore ConvertTypes, but op_api_convert.h has no ConvertType overload for that type.","Convert optional int-array arguments before wrapping with the transpose flag, or pass std::optional<std::vector<int64_t>> / std::pair<std::vector<int64_t>, bool> in a form supported by MindSpore ConvertType, then rerun pytest and dashboard artifact collection."
43,OP-FUSED-INFER-ATTENTION-SCORE-V2-INFER-OUTPUT-001,torch_npu._npu_fused_infer_attention_score_v2_infer_output,open,not_run,tool_contract_only,ms_ops_pytest_probe,matched_manual_and_code,_npu_fused_infer_attention_score_v2_infer_output_op,18,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_v2_infer_output_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_v2_infer_output_op.h;../ms_ops/docs/operators/_npu_fused_infer_attention_score_v2_get_max_workspace.md;../ms_ops/docs/operators/_npu_fused_infer_attention_score_v2_infer_output.md;../ms_ops/docs/operators/npu_fused_infer_attention_score_v2.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md,The refreshed remote ms_ops checkout has no direct pytest file for _npu_fused_infer_attention_score_v2_infer_output. The available test_npu_fused_infer_attention_score_v2_get_max_workspace_op.py validates a different workspace-query helper path and cannot be used as pass evidence for the infer-output operator.,"Add or locate a direct infer-output ms_ops test, or collect dashboard golden/actual artifacts for OP-FUSED-INFER-ATTENTION-SCORE-V2-INFER-OUTPUT-001 before marking this case pass."
44,OP-KV-QUANT-SPARSE-FLASH-ATTENTION-PIONEER-001,torch_npu._npu_kv_quant_sparse_flash_attention_pioneer,open,not_run,tool_contract_only,ms_ops_pytest_probe,dashboard_only,,,,no,,No direct pytest or implementation mapping was found in the refreshed remote ms_ops checkout under tests/ or custom_ops for this attention/cache case.,"Locate or add an ms_ops implementation/test mapping, or collect dashboard golden/actual artifacts from the preserved ops_gate reference before marking this case pass."
45,OP-ADD-RMSNORM-001,torch_npu.npu_add_rms_norm,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_add_rms_norm_op,52,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/docs/operators/npu_add_rms_norm.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_add_rms_norm_op.py,Refreshed remote ms_ops pytest file tests/operators/aclnn/test_npu_add_rms_norm_op.py completed successfully in the rope/norm batch; aggregate batch result was 13 passed.,Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared for this operator.
46,OP-APPLY-ROTARY-POS-EMB-001,torch_npu.npu_apply_rotary_pos_emb,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_apply_rotary_pos_emb_op,59,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_apply_rotary_pos_emb_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_apply_rotary_pos_emb_op.h;../ms_ops/docs/operators/npu_apply_rotary_pos_emb.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_apply_rotary_pos_emb_op.py,Refreshed remote ms_ops pytest file tests/operators/aclnn/test_npu_apply_rotary_pos_emb_op.py completed successfully in the rope/norm batch; aggregate batch result was 13 passed.,Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared for this operator.
48,OP-ATTENTION-UPDATE-001,torch_npu.npu_attention_update,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_attention_update_op,19,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_attention_update_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_attention_update_op.h;../ms_ops/docs/operators/npu_attention_update.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_attention_update_op.py,ms_ops tests/operators/aclnn/test_npu_attention_update_op.py completed successfully on the refreshed remote ms_ops checkout.,Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared.
49,OP-DEQUANT-SWIGLU-QUANT-001,torch_npu.npu_dequant_swiglu_quant,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_dequant_swiglu_quant_op,43,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_dequant_swiglu_quant_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_dequant_swiglu_quant_op.h;../ms_ops/docs/operators/npu_dequant_swiglu_quant.md;../ms_ops/docs/operators/npu_swiglu_mx_quant.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_dequant_swiglu_quant_op.py,Refreshed remote ms_ops pytest file tests/operators/aclnn/test_npu_dequant_swiglu_quant_op.py completed in the quant/matmul batch; aggregate batch result was 25 passed and 9 skipped across 34 collected tests.,Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared for this operator.
52,OP-DYNAMIC-QUANT-001,torch_npu.npu_dynamic_quant,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_dynamic_quant_op,44,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_dynamic_quant_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_dynamic_quant_op.h;../ms_ops/docs/operators/npu_dynamic_quant.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_dynamic_quant_op.py,Refreshed remote ms_ops pytest file tests/operators/aclnn/test_npu_dynamic_quant_op.py completed in the quant/matmul batch; aggregate batch result was 25 passed and 9 skipped across 34 collected tests.,Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared for this operator.
55,OP-FUSED-CAUSAL-CONV1D-001,torch_npu.npu_fused_causal_conv1d,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_fused_causal_conv1d_op,97,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_fused_causal_conv1d_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_fused_causal_conv1d_op.h;../ms_ops/docs/operators/npu_fused_causal_conv1d.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_fused_causal_conv1d_op.py,ms_ops tests/operators/aclnn/test_npu_fused_causal_conv1d_op.py completed successfully on the refreshed remote ms_ops checkout.,Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared.
56,OP-FUSED-INFER-ATTENTION-SCORE-001,torch_npu.npu_fused_infer_attention_score,blocked,blocked,tool_contract_only,ms_ops_pytest,matched_manual_and_code,npu_fused_infer_attention_score_op,14,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_get_max_workspace_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_get_max_workspace_op.h;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_v2_get_max_workspace_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_v2_get_max_workspace_op.h;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_v2_infer_output_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_v2_infer_output_op.h;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_fused_infer_attention_score_op.cpp,"Running ms_ops tests/operators/aclnn/test_npu_fused_infer_attention_score_op.py fails during collection/build. npu_fused_infer_attention_score_op.cpp:301/308 passes std::pair<std::optional<std::vector<int64_t>>, bool> into MindSpore ConvertTypes, but op_api_convert.h has no ConvertType overload for that type.","Convert optional int-array arguments before pairing with transpose flags, or pass std::optional<std::vector<int64_t>> / std::pair<std::vector<int64_t>, bool> in a form supported by MindSpore ConvertType, then rerun pytest and dashboard artifact collection."
58,OP-FUSED-INFER-ATTENTION-SCORE-V2-001,torch_npu.npu_fused_infer_attention_score_v2,blocked,blocked,tool_contract_only,ms_ops_pytest,matched_manual_and_code,npu_fused_infer_attention_score_v2_op,15,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_get_max_workspace_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_get_max_workspace_op.h;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_v2_get_max_workspace_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_v2_get_max_workspace_op.h;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_v2_infer_output_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/_npu_fused_infer_attention_score_v2_infer_output_op.h;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_fused_infer_attention_score_op.cpp,"Running ms_ops tests/operators/aclnn/test_npu_fused_infer_attention_score_v2_op.py fails during collection/build. npu_fused_infer_attention_score_v2_op.cpp:76 passes std::pair<std::optional<std::vector<int64_t>>, bool> into MindSpore ConvertTypes, but op_api_convert.h has no ConvertType overload for that type.","Convert optional int-array arguments before pairing with transpose flags, or pass std::optional<std::vector<int64_t>> / std::pair<std::vector<int64_t>, bool> in a form supported by MindSpore ConvertType, then rerun pytest and dashboard artifact collection."
60,OP-FUSION-ATTENTION-001,torch_npu.npu_fusion_attention,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_fusion_attention_op,13,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_fusion_attention_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_fusion_attention_op.h;../ms_ops/docs/operators/npu_fusion_attention.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_fusion_attention_op.py,ms_ops tests/operators/aclnn/test_npu_fusion_attention_op.py completed successfully on the refreshed remote ms_ops checkout.,Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared.
61,OP-GROUPED-MATMUL-001,torch_npu.npu_grouped_matmul,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_grouped_matmul_op,39,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_grouped_matmul_finalize_routing_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_grouped_matmul_finalize_routing_op.h;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_grouped_matmul_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_grouped_matmul_op.h;../ms_ops/docs/operators/npu_grouped_matmul.md;../ms_ops/docs/operators/npu_grouped_matmul_finalize_routing.md;../ms_ops/docs/operators/npu_swiglu_mx_quant.md,Refreshed remote ms_ops pytest file tests/operators/aclnn/test_npu_grouped_matmul_op.py completed in the quant/matmul batch; aggregate batch result was 25 passed and 9 skipped across 34 collected tests.,Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared for this operator.
63,OP-GROUPED-MATMUL-FINALIZE-ROUTING-001,torch_npu.npu_grouped_matmul_finalize_routing,accepted,pass,provisional_reference,ms_ops_pytest,matched_manual_and_code,npu_grouped_matmul_finalize_routing_op,40,exact,yes,../ms_ops/custom_ops/config/aclnn_ops.yaml;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_grouped_matmul_finalize_routing_op.cpp;../ms_ops/custom_ops/ms_adapter/pynative/manual/ops/npu_grouped_matmul_finalize_routing_op.h;../ms_ops/docs/operators/npu_grouped_matmul_finalize_routing.md;../ms_ops/docs/operators/supported_operators.md;../ms_ops/docs/operators/supported_operators_CN.md;../ms_ops/tests/operators/aclnn/test_npu_grouped_matmul_finalize_routing_op.py,Refreshed remote ms_ops pytest file tests/operators/aclnn/test_npu_grouped_matmul_finalize_routing_op.py completed in the quant/matmul batch; aggregate batch result was 25 passed and 9 skipped across 34 collected tests.,Promote to migration_evidence only after dashboard golden/actual artifacts are collected and compared for this operator.
